128	32	55.5944996
1024	4	984.5036012
16	4	1.3619
512	64	560.350708
512	4	160.0239014
64	64	56.6548008
1024	0	2851.813086
16	8	2.4971
128	8	7.6316
32	1	0.8866
512	0	363.8639954
16	1	0.5045
1024	32	1353.8570923
512	32	321.3055999
128	4	8.027
1024	64	1716.8726074
64	1	3.4054
64	8	4.3786
512	16	200.804799
256	1	68.8088997
128	0	7.7606
1024	1	3518.3596924
512	8	168.399501
512	1	455.3975983
16	2	0.903
1024	16	751.1606965
32	2	1.3039
64	0	1.5167
32	16	7.738
128	64	112.0305991
128	1	21.1786
256	0	50.4877003
128	16	24.1996
64	4	2.6456
256	32	124.7287003
16	16	4.7162
512	2	252.5742996
256	4	44.7504002
256	64	230.3582976
256	8	33.0996003
32	8	3.7325
1024	8	713.1292971
128	2	12.5464
32	4	1.6965
32	32	15.7682
64	16	13.5529
1024	2	1798.2916992
32	0	0.2885
64	2	2.8475
16	0	0.0437
64	32	27.5462999
256	16	59.0612999
256	2	48.7966
