PSCL	EXPR	MODE	PACKETS	OUT_TIME	W	LOCK_MODE	S	N
32	PACKET_3	parallel	131072	340.978668	1000	1	1	1
32	PACKET_3	serial	131072	291.209656	1000	1	1	1
32	PACKET_3	parallel	65536	217.381332	1000	1	1	2
32	PACKET_3	serial	131072	292.766998	1000	1	1	2
32	PACKET_3	parallel	43690	159.063995	1000	1	1	3
32	PACKET_3	serial	131072	290.708008	1000	1	1	3
32	PACKET_3	parallel	18724	126.735992	1000	1	1	7
32	PACKET_3	serial	131072	297.728668	1000	1	1	7
32	PACKET_3	parallel	8738	205.296341	1000	1	1	15
32	PACKET_3	serial	131072	293.957001	1000	1	1	15
32	PACKET_3	parallel	131072	385.749023	1000	1	4	1
32	PACKET_3	serial	131072	292.842987	1000	1	4	1
32	PACKET_3	parallel	65536	236.805664	1000	1	4	2
32	PACKET_3	serial	131072	289.865021	1000	1	4	2
32	PACKET_3	parallel	43690	187.364990	1000	1	4	3
32	PACKET_3	serial	131072	293.495972	1000	1	4	3
32	PACKET_3	parallel	18724	150.514328	1000	1	4	7
32	PACKET_3	serial	131072	295.094330	1000	1	4	7
32	PACKET_3	parallel	8738	266.082336	1000	1	4	15
32	PACKET_3	serial	131072	298.139648	1000	1	4	15
32	PACKET_3	parallel	131072	341.028015	1000	1	8	1
32	PACKET_3	serial	131072	294.795319	1000	1	8	1
32	PACKET_3	parallel	65536	204.028015	1000	1	8	2
32	PACKET_3	serial	131072	289.667664	1000	1	8	2
32	PACKET_3	parallel	43690	156.029343	1000	1	8	3
32	PACKET_3	serial	131072	288.447327	1000	1	8	3
32	PACKET_3	parallel	18724	133.936676	1000	1	8	7
32	PACKET_3	serial	131072	292.912018	1000	1	8	7
32	PACKET_3	parallel	8738	217.696991	1000	1	8	15
32	PACKET_3	serial	131072	298.964325	1000	1	8	15
32	PACKET_3	parallel	131072	640.502991	2000	1	1	1
32	PACKET_3	serial	131072	579.552002	2000	1	1	1
32	PACKET_3	parallel	65536	395.964020	2000	1	1	2
32	PACKET_3	serial	131072	578.023010	2000	1	1	2
32	PACKET_3	parallel	43690	281.183014	2000	1	1	3
32	PACKET_3	serial	131072	575.979004	2000	1	1	3
32	PACKET_3	parallel	18724	192.914673	2000	1	1	7
32	PACKET_3	serial	131072	571.102661	2000	1	1	7
32	PACKET_3	parallel	8738	121.376663	2000	1	1	15
32	PACKET_3	serial	131072	571.928650	2000	1	1	15
32	PACKET_3	parallel	131072	663.070007	2000	1	4	1
32	PACKET_3	serial	131072	573.386658	2000	1	4	1
32	PACKET_3	parallel	65536	365.184998	2000	1	4	2
32	PACKET_3	serial	131072	573.108643	2000	1	4	2
32	PACKET_3	parallel	43690	280.444336	2000	1	4	3
