PSCL	EXPR	MODE	PACKETS	OUT_TIME	W	LOCK_MODE	S	N
32	PACKET_4	parallel	131072	363.661011	1000	1	16	1
32	PACKET_4	serial	131072	290.430328	1000	1	16	1
32	PACKET_4	parallel	65536	235.039673	1000	1	16	2
32	PACKET_4	serial	131072	294.686981	1000	1	16	2
32	PACKET_4	parallel	43690	166.045670	1000	1	16	3
32	PACKET_4	serial	131072	293.899017	1000	1	16	3
32	PACKET_4	parallel	18724	124.597336	1000	1	16	7
32	PACKET_4	serial	131072	296.690979	1000	1	16	7
32	PACKET_4	parallel	8738	185.307678	1000	1	16	15
32	PACKET_4	serial	131072	292.440674	1000	1	16	15
32	PACKET_4	parallel	131072	661.961975	2000	1	16	1
32	PACKET_4	serial	131072	570.466675	2000	1	16	1
32	PACKET_4	parallel	65536	392.729675	2000	1	16	2
32	PACKET_4	serial	131072	567.365967	2000	1	16	2
32	PACKET_4	parallel	43690	282.056671	2000	1	16	3
32	PACKET_4	serial	131072	574.632996	2000	1	16	3
32	PACKET_4	parallel	18724	196.588989	2000	1	16	7
32	PACKET_4	serial	131072	570.606323	2000	1	16	7
32	PACKET_4	parallel	8738	127.641663	2000	1	16	15
32	PACKET_4	serial	131072	569.076355	2000	1	16	15
32	PACKET_4	parallel	131072	1236.859985	4000	1	16	1
32	PACKET_4	serial	131072	1141.239380	4000	1	16	1
32	PACKET_4	parallel	65536	726.615662	4000	1	16	2
32	PACKET_4	serial	131072	1125.715454	4000	1	16	2
32	PACKET_4	parallel	43690	520.997620	4000	1	16	3
32	PACKET_4	serial	131072	1133.944702	4000	1	16	3
32	PACKET_4	parallel	18724	356.451660	4000	1	16	7
32	PACKET_4	serial	131072	1137.866699	4000	1	16	7
32	PACKET_4	parallel	8738	180.981995	4000	1	16	15
32	PACKET_4	serial	131072	1132.349976	4000	1	16	15
32	PACKET_4	parallel	131072	2379.099365	8000	1	16	1
32	PACKET_4	serial	131072	2268.792725	8000	1	16	1
32	PACKET_4	parallel	65536	1381.410400	8000	1	16	2
32	PACKET_4	serial	131072	2233.818359	8000	1	16	2
32	PACKET_4	parallel	43690	991.693298	8000	1	16	3
32	PACKET_4	serial	131072	2240.947998	8000	1	16	3
32	PACKET_4	parallel	18724	694.307007	8000	1	16	7
32	PACKET_4	serial	131072	2240.803467	8000	1	16	7
32	PACKET_4	parallel	8738	332.941010	8000	1	16	15
32	PACKET_4	serial	131072	2253.268066	8000	1	16	15
32	PACKET_4	parallel	131072	392.023682	1000	2	16	1
32	PACKET_4	serial	131072	289.870331	1000	2	16	1
32	PACKET_4	parallel	65536	223.590668	1000	2	16	2
32	PACKET_4	serial	131072	291.383331	1000	2	16	2
32	PACKET_4	parallel	43690	168.147995	1000	2	16	3
32	PACKET_4	serial	131072	292.611969	1000	2	16	3
32	PACKET_4	parallel	18724	120.895996	1000	2	16	7
32	PACKET_4	serial	131072	291.190674	1000	2	16	7
32	PACKET_4	parallel	8738	141.716675	1000	2	16	15
32	PACKET_4	serial	131072	287.838989	1000	2	16	15
32	PACKET_4	parallel	131072	657.281677	2000	2	16	1
32	PACKET_4	serial	131072	567.985657	2000	2	16	1
32	PACKET_4	parallel	65536	384.567657	2000	2	16	2
32	PACKET_4	serial	131072	573.798340	2000	2	16	2
32	PACKET_4	parallel	43690	289.166351	2000	2	16	3
32	PACKET_4	serial	131072	580.510681	2000	2	16	3
32	PACKET_4	parallel	18724	192.142334	2000	2	16	7
32	PACKET_4	serial	131072	576.540710	2000	2	16	7
32	PACKET_4	parallel	8738	126.577667	2000	2	16	15
32	PACKET_4	serial	131072	565.055969	2000	2	16	15
32	PACKET_4	parallel	131072	1234.794067	4000	2	16	1
