PSCL	EXPR	MODE	PACKETS	OUT_TIME	W	LOCK_MODE	S	N
32	PACKET_2	parallel	18724	454.497009	8000	1	4	7
32	PACKET_2	serial	131072	2233.794678	8000	1	4	7
32	PACKET_2	parallel	8738	268.091980	8000	1	4	15
32	PACKET_2	serial	131072	2232.715576	8000	1	4	15
32	PACKET_2	parallel	131072	2299.943848	8000	1	8	1
32	PACKET_2	serial	131072	2245.718018	8000	1	8	1
32	PACKET_2	parallel	65536	1196.379761	8000	1	8	2
32	PACKET_2	serial	131072	2231.169189	8000	1	8	2
32	PACKET_2	parallel	43690	828.856018	8000	1	8	3
32	PACKET_2	serial	131072	2253.021973	8000	1	8	3
32	PACKET_2	parallel	18724	377.247009	8000	1	8	7
32	PACKET_2	serial	131072	2250.757324	8000	1	8	7
32	PACKET_2	parallel	8738	190.444672	8000	1	8	15
32	PACKET_2	serial	131072	2241.051270	8000	1	8	15
32	PACKET_2	parallel	131072	372.946655	1000	2	1	1
32	PACKET_2	serial	131072	290.247986	1000	2	1	1
32	PACKET_2	parallel	65536	193.104340	1000	2	1	2
32	PACKET_2	serial	131072	289.482666	1000	2	1	2
32	PACKET_2	parallel	43690	138.892670	1000	2	1	3
32	PACKET_2	serial	131072	293.468994	1000	2	1	3
32	PACKET_2	parallel	18724	114.996338	1000	2	1	7
32	PACKET_2	serial	131072	295.119995	1000	2	1	7
32	PACKET_2	parallel	8738	186.976669	1000	2	1	15
32	PACKET_2	serial	131072	292.138672	1000	2	1	15
32	PACKET_2	parallel	131072	376.173645	1000	2	4	1
32	PACKET_2	serial	131072	292.809998	1000	2	4	1
32	PACKET_2	parallel	65536	340.837311	1000	2	4	2
32	PACKET_2	serial	131072	297.662323	1000	2	4	2
32	PACKET_2	parallel	43690	284.428986	1000	2	4	3
32	PACKET_2	serial	131072	295.473328	1000	2	4	3
32	PACKET_2	parallel	18724	160.162659	1000	2	4	7
32	PACKET_2	serial	131072	295.283661	1000	2	4	7
32	PACKET_2	parallel	8738	212.865005	1000	2	4	15
32	PACKET_2	serial	131072	300.330322	1000	2	4	15
32	PACKET_2	parallel	131072	346.960663	1000	2	8	1
32	PACKET_2	serial	131072	294.493317	1000	2	8	1
32	PACKET_2	parallel	65536	176.999664	1000	2	8	2
32	PACKET_2	serial	131072	290.722321	1000	2	8	2
32	PACKET_2	parallel	43690	130.718994	1000	2	8	3
32	PACKET_2	serial	131072	290.919678	1000	2	8	3
32	PACKET_2	parallel	18724	115.251663	1000	2	8	7
32	PACKET_2	serial	131072	293.060669	1000	2	8	7
32	PACKET_2	parallel	8738	227.372330	1000	2	8	15
32	PACKET_2	serial	131072	296.934998	1000	2	8	15
32	PACKET_2	parallel	131072	622.472656	2000	2	1	1
32	PACKET_2	serial	131072	571.977356	2000	2	1	1
32	PACKET_2	parallel	65536	349.473663	2000	2	1	2
32	PACKET_2	serial	131072	573.701050	2000	2	1	2
32	PACKET_2	parallel	43690	239.671677	2000	2	1	3
32	PACKET_2	serial	131072	577.062012	2000	2	1	3
32	PACKET_2	parallel	18724	111.659332	2000	2	1	7
32	PACKET_2	serial	131072	573.326355	2000	2	1	7
32	PACKET_2	parallel	8738	198.733673	2000	2	1	15
32	PACKET_2	serial	131072	576.999390	2000	2	1	15
32	PACKET_2	parallel	131072	660.656677	2000	2	4	1
32	PACKET_2	serial	131072	566.774963	2000	2	4	1
32	PACKET_2	parallel	65536	391.183014	2000	2	4	2
32	PACKET_2	serial	131072	575.809387	2000	2	4	2
32	PACKET_2	parallel	43690	319.194000	2000	2	4	3
32	PACKET_2	serial	131072	574.972351	2000	2	4	3
32	PACKET_2	parallel	18724	157.238007	2000	2	4	7
32	PACKET_2	serial	131072	573.048950	2000	2	4	7
32	PACKET_2	parallel	8738	149.776672	2000	2	4	15
32	PACKET_2	serial	131072	570.760010	2000	2	4	15
32	PACKET_2	parallel	131072	621.406677	2000	2	8	1
32	PACKET_2	serial	131072	567.264648	2000	2	8	1
32	PACKET_2	parallel	65536	328.640350	2000	2	8	2
32	PACKET_2	serial	131072	577.656982	2000	2	8	2
32	PACKET_2	parallel	43690	234.705994	2000	2	8	3
32	PACKET_2	serial	131072	573.304321	2000	2	8	3
32	PACKET_2	parallel	18724	109.793671	2000	2	8	7
32	PACKET_2	serial	131072	581.817688	2000	2	8	7
32	PACKET_2	parallel	8738	155.465668	2000	2	8	15
32	PACKET_2	serial	131072	575.505371	2000	2	8	15
32	PACKET_2	parallel	131072	1204.266357	4000	2	1	1
32	PACKET_2	serial	131072	1127.372681	4000	2	1	1
32	PACKET_2	parallel	65536	616.197998	4000	2	1	2
32	PACKET_2	serial	131072	1133.854980	4000	2	1	2
32	PACKET_2	parallel	43690	436.212341	4000	2	1	3
32	PACKET_2	serial	131072	1139.745972	4000	2	1	3
32	PACKET_2	parallel	18724	197.013992	4000	2	1	7
32	PACKET_2	serial	131072	1128.494995	4000	2	1	7
32	PACKET_2	parallel	8738	119.215668	4000	2	1	15
32	PACKET_2	serial	131072	1129.050903	4000	2	1	15
32	PACKET_2	parallel	131072	1229.072632	4000	2	4	1
32	PACKET_2	serial	131072	1138.647583	4000	2	4	1
32	PACKET_2	parallel	65536	693.009338	4000	2	4	2
32	PACKET_2	serial	131072	1151.237671	4000	2	4	2
32	PACKET_2	parallel	43690	519.055664	4000	2	4	3
32	PACKET_2	serial	131072	1143.978271	4000	2	4	3
32	PACKET_2	parallel	18724	286.612335	4000	2	4	7
32	PACKET_2	serial	131072	1134.598633	4000	2	4	7
32	PACKET_2	parallel	8738	164.451996	4000	2	4	15
32	PACKET_2	serial	131072	1135.252319	4000	2	4	15
32	PACKET_2	parallel	131072	1183.911987	4000	2	8	1
32	PACKET_2	serial	131072	1133.992065	4000	2	8	1
32	PACKET_2	parallel	65536	613.821289	4000	2	8	2
32	PACKET_2	serial	131072	1127.980347	4000	2	8	2
32	PACKET_2	parallel	43690	438.225647	4000	2	8	3
32	PACKET_2	serial	131072	1131.934937	4000	2	8	3
32	PACKET_2	parallel	18724	200.750000	4000	2	8	7
32	PACKET_2	serial	131072	1120.421997	4000	2	8	7
32	PACKET_2	parallel	8738	119.870667	4000	2	8	15
32	PACKET_2	serial	131072	1116.294312	4000	2	8	15
32	PACKET_2	parallel	131072	2351.206543	8000	2	1	1
32	PACKET_2	serial	131072	2230.281738	8000	2	1	1
32	PACKET_2	parallel	65536	1215.522339	8000	2	1	2
32	PACKET_2	serial	131072	2226.239746	8000	2	1	2
32	PACKET_2	parallel	43690	829.183655	8000	2	1	3
